,kecamatan,kelurahan,latitude,longitude,status,total
0,SAMBUTAN,PULAU ATAS,-0.563386,117.220336,1,11
1,SAMARINDA SEBERANG,BAQA,-0.5086294,117.1381534,0,9
2,LOA JANAN ILIR,SIMPANG TIGA,-0.5725715,117.0931458,0,9
3,LOA JANAN ILIR,SIMPANG TIGA,-0.5756439,117.0939018,1,14
4,Sambutan,MAKROMAN,-0.5359999,117.2438094,1,11
5,PALARAN,BUKUAN,-0.5760551,117.2049578,0,10
6,PALARAN,RAWA MAKMUR,-0.5709968,117.1843523,0,8
7,SAMARINDA ILIR,SIDOMULYO,-0.494051,117.1599092,0,9
8,PALARAN,BUKUAN,-0.5757921,117.2050676,0,8
9,LOA JANAN ILIR,SIMPANG TIGA,-0.5869738,117.0976995,1,11
10,SAMARINDA ILIR,SELILI,-0.5783214,117.1995978,0,7
11,SAMBUTAN,PULAU ATAS,-0.563049,117.220536,0,10
12,SAMARINDA SEBERANG,SUNGAI KELEDANG,-0.5183186,117.1232375,1,15
13,PALARAN,BUKUAN,-0.575792,117.2050016,0,8
14,SAMARINDA UTARA,LEMPAKE,-0.4441892,117.2039398,0,10
15,LOA JANAN ILIR,SIMPANG TIGA,-0.5774287,117.0941895,1,12
16,LOA JANAN ILIR,SIMPANG TIGA,-0.5861025,117.0996622,1,11
17,SAMARINDA ILIR,SIDOMULYO,-0.4923924,117.1649518,0,10
18,SUNGAI KUNJANG,KARANG ASAM ULU,-0.522787,117.103999,0,10
19,LOA JANAN ILIR,HARAPAN BARU,-0.5442339,117.1071717,0,10
20,SAMARINDA UTARA,TANAH MERAH,-0.4382851,117.2195958,0,8
21,SUNGAI PINANG,BANDARA,-0.4873928,117.1569353,1,11
22,SUNGAI KUNJANG,LOA BAKUNG,-0.5461968,117.0829018,0,9
23,SAMARINDA KOTA,BUGIS,-0.4986869,117.1468609,0,9
24,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.475726,117.175688,0,8
25,SAMARINDA ILIR,SIDOMULYO,-0.4936959,117.1656082,1,11
26,SAMARINDA UTARA,SEMPAJA TIMUR,-0.4427827,117.1580058,0,10
27,LOA JANAN ILIR,HARAPAN BARU,-0.5457052,117.1092459,1,13
28,SAMARINDA ILIR,SELILI,-0.5227493,117.1621924,0,9
29,SAMARINDA ILIR,SIDOMULYO,-0.4978987,117.1612883,1,13
30,SAMARINDA UTARA,SEMPAJA TIMUR,-0.4252647,117.1674656,0,8
31,SAMARINDA UTARA,SEMPAJA TIMUR,-0.4427872,117.1579475,0,10
32,SAMBUTAN,SINDANG SARI,-0.557231,117.2289142,1,14
33,SUNGAI KUNJANG,KARANG ASAM ULU,-0.521453,117.113545,1,11
34,SUNGAI PINANG,SUNGAI PINANG DALAM,-0.483563,117.1617594,0,10
35,SUNGAI KUNJANG,TELUK LERONG ULU,-0.4939726,117.1283799,1,11
36,SAMARINDA UTARA,SEMPAJA BARAT,-0.4127578,117.1359955,1,12
37,SUNGAI PINANG,BANDARA,-0.484489,117.151992,1,15
38,SAMARINDA ILIR,SELILI,-0.5189086,117.1569004,1,13
39,PALARAN,SIMPANG PASIR,-0.560509,117.148587,0,7
40,SUNGAI KUNJANG,LOK BAHU,-0.4949984,117.0880642,0,8
41,SAMARINDA UTARA,SEMPAJA TIMUR,-0.4475082,117.1574775,0,7
42,SUNGAI KUNJANG,KARANG ASAM ULU,-0.527065,117.110527,1,11
43,SAMARINDA UTARA,TANAH MERAH,-0.460231,117.206856,0,10
